timestamp,ovms_pid,proc_cpu_pct,proc_ws_bytes,sys_mem_used_bytes,sys_mem_free_bytes,gpu_notes,_GPU_Local_Adapter_Memory(_)_Local_Usage,_GPU_Engine(_)_Utilization_Percentage,_GPU_Adapter_Memory(_)_Shared_Usage,_GPU_Adapter_Memory(_)_Dedicated_Usage,_GPU_Adapter_Memory(_)_Total_Committed,_GPU_Process_Memory(_)_Shared_Usage,_GPU_Process_Memory(_)_Dedicated_Usage,_GPU_Process_Memory(_)_Non_Local_Usage,_GPU_Process_Memory(_)_Local_Usage,_GPU_Process_Memory(_)_Total_Committed,_GPU_Non_Local_Adapter_Memory(_)_Non_Local_Usage
2026-09-05T23:40:25.9742377+02:00,28520,0,17218437120,32777326592,1089306624,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:33.3615464+02:00,28520,0,17218437120,32726503424,1140129792,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:40.9972920+02:00,28520,0,17218437120,32724176896,1142456320,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:48.5984731+02:00,28520,0,17218572288,32743366656,1123266560,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:40:56.9693851+02:00,28520,0,17218572288,32733220864,1133412352,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:41:04.7276974+02:00,28520,0,17218572288,32836153344,1030479872,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:41:13.4279622+02:00,28520,0,17218572288,32781733888,1084899328,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:41:21.0257180+02:00,28520,0,17218572288,32789774336,1076858880,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:41:28.7333863+02:00,28520,0,17218572288,32684470272,1182162944,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
2026-09-05T23:41:36.3643454+02:00,28520,0,17218572288,32692682752,1173950464,"",8192,0,8192,0,5615616,0,0,0,0,28606464,
